Epoch,Train Accuracy
1,73.15968289920724
2,78.39939599849
3,81.71385428463572
4,82.50660626651567
5,82.55945639864099
6,82.55945639864099
7,82.73310683276708
8,82.2876557191393
9,82.12155530388826
10,82.49905624764062
11,82.98225745564363
12,83.29935824839562
13,82.95205738014346
14,83.72215930539826
15,87.21026802567008
16,88.2068705171763
17,87.49716874292186
18,87.95771989429973
19,88.17667044167611
20,88.75047187617969
21,88.81842204605512
22,88.91657229143073
23,87.3763684409211
24,89.02982257455643
25,89.0071725179313
26,88.69007172517931
27,88.84107210268026
28,86.93846734616837
29,89.19592298980747
30,93.87693469233673
31,94.37523593808984
32,94.36013590033974
33,94.41298603246508
34,94.65458663646659
35,88.16383540958853
36,94.57908644771612
37,94.4960362400906
38,93.60513401283504
39,94.11098527746319
40,92.04983012457532
41,94.65458663646659
42,94.95658739146849
43,94.73763684409211
44,94.79048697621744
45,80.27708569271424
46,93.61268403171007
47,94.98678746696866
48,94.6243865609664
49,94.45073612684031
50,94.32238580596452
51,88.81313703284259
52,94.97168742921858
53,95.0094375235938
54,95.04718761796904
55,94.60928652321631
56,95.07738769346923
57,79.91883729709323
58,94.57908644771612
59,89.58663646659117
60,94.95658739146849
61,86.57908644771612
62,95.11513778784447
63,82.16043790109475
64,94.27708569271424
65,95.03208758021896
66,95.0245375613439
67,94.68478671196678
68,94.92638731596828
69,79.72253680634202
70,94.95658739146849
71,94.91883729709323
72,95.01698754246885
73,95.00188750471877
74,70.08493771234428
75,94.74518686296716
76,94.81313703284259
77,95.13778784446961
78,94.73763684409211
79,94.1940354850887
80,95.0245375613439
81,94.97168742921858
82,95.13023782559456
83,95.14533786334466
84,94.69233673084183
85,95.06983767459418
86,94.11098527746319
87,95.03208758021896
88,94.68478671196678
89,94.28463571158929
90,95.11513778784447
91,95.23593808984523
92,94.85088712721782
93,94.13363533408834
94,94.9112872782182
95,94.32993582483957
96,94.44318610796527
97,94.71498678746697
98,94.3525858814647
99,94.61683654209135
100,94.0320875277463
